run_name,phase,method,p,seed,delay_mode,spy_selection_method,bribed_nodes,total_packets,correct_guesses,accuracy,score_adv,mean_t80,median_t80,score_honest,missing_observation_packets
phase5_p0.1_seed303_spies3_delay_none,5,first_spy,0.1,303,none,cluster_spread,3,200,31,0.155,0.051666666666666666,0.8419630789756775,0.789687991142273,1.0036069527276863,0
phase5_p0.1_seed303_spies3_delay_none,5,advanced_timing,0.1,303,none,cluster_spread,3,200,94,0.47,0.15666666666666665,0.8419630789756775,0.789687991142273,0.6294812839593773,0
phase5_p0.1_seed303_spies3_delay_random,5,first_spy,0.1,303,random,cluster_spread,3,200,43,0.215,0.07166666666666667,0.8794571244716645,0.8100899457931519,0.8925961006587901,0
phase5_p0.1_seed303_spies3_delay_random,5,advanced_timing,0.1,303,random,cluster_spread,3,200,111,0.555,0.18500000000000003,0.8794571244716645,0.8100899457931519,0.5059939678893778,0
phase5_p0.1_seed404_spies3_delay_half,5,first_spy,0.1,404,half,cluster_spread,3,200,43,0.215,0.07166666666666667,0.7508729875087738,0.6893080472946167,1.045449780534058,0
phase5_p0.1_seed404_spies3_delay_half,5,advanced_timing,0.1,404,half,cluster_spread,3,200,111,0.555,0.18500000000000003,0.7508729875087738,0.6893080472946167,0.5926435061626187,0
phase5_p0.1_seed404_spies3_delay_maximum,5,first_spy,0.1,404,maximum,cluster_spread,3,200,52,0.26,0.08666666666666667,0.8101197516918183,0.7264740467071533,0.9134452017181617,0
phase5_p0.1_seed404_spies3_delay_maximum,5,advanced_timing,0.1,404,maximum,cluster_spread,3,200,109,0.545,0.18166666666666667,0.8101197516918183,0.7264740467071533,0.5616453605158966,0
phase5_p0.1_seed404_spies3_delay_none,5,first_spy,0.1,404,none,cluster_spread,3,200,55,0.275,0.09166666666666667,0.7150740230083465,0.6316053867340088,1.0138810482163712,0
phase5_p0.1_seed404_spies3_delay_none,5,advanced_timing,0.1,404,none,cluster_spread,3,200,101,0.505,0.16833333333333333,0.7150740230083465,0.6316053867340088,0.6922360260235914,0
phase5_p0.1_seed404_spies3_delay_random,5,first_spy,0.1,404,random,cluster_spread,3,200,45,0.225,0.075,0.7529123032093048,0.693891167640686,1.029336347269856,0
phase5_p0.1_seed404_spies3_delay_random,5,advanced_timing,0.1,404,random,cluster_spread,3,200,107,0.535,0.17833333333333334,0.7529123032093048,0.693891167640686,0.6176018083619135,0
phase5_p0.1_seed505_spies3_delay_half,5,first_spy,0.1,505,half,cluster_spread,3,200,47,0.235,0.07833333333333332,1.3119958317279816,1.177032470703125,0.583081120762744,0
phase5_p0.1_seed505_spies3_delay_half,5,advanced_timing,0.1,505,half,cluster_spread,3,200,80,0.4,0.13333333333333333,1.3119958317279816,1.177032470703125,0.45731852608842666,0
phase5_p0.1_seed505_spies3_delay_maximum,5,first_spy,0.1,505,maximum,cluster_spread,3,200,48,0.24,0.08,1.3422941541671753,1.2517969608306885,0.5661948222307063,0
phase5_p0.1_seed505_spies3_delay_maximum,5,advanced_timing,0.1,505,maximum,cluster_spread,3,200,93,0.465,0.155,1.3422941541671753,1.2517969608306885,0.3985713551229313,0
phase5_p0.1_seed505_spies3_delay_none,5,first_spy,0.1,505,none,cluster_spread,3,200,41,0.205,0.06833333333333333,1.175937385559082,1.0419100522994995,0.6760564038212197,0
phase5_p0.1_seed505_spies3_delay_none,5,advanced_timing,0.1,505,none,cluster_spread,3,200,75,0.375,0.125,1.175937385559082,1.0419100522994995,0.5314908835072482,0
phase5_p0.1_seed505_spies3_delay_random,5,first_spy,0.1,505,random,cluster_spread,3,200,46,0.23,0.07666666666666667,1.2760456061363221,1.1699374914169312,0.6034267084947272,0
phase5_p0.1_seed505_spies3_delay_random,5,advanced_timing,0.1,505,random,cluster_spread,3,200,84,0.42,0.13999999999999999,1.2760456061363221,1.1699374914169312,0.4545292089960284,0
phase5_p0.5_seed101_spies3_delay_half,5,first_spy,0.5,101,half,cluster_spread,3,200,40,0.2,0.06666666666666667,0.9524715340137482,0.7251580953598022,0.8399201145978318,0
phase5_p0.5_seed101_spies3_delay_half,5,advanced_timing,0.5,101,half,cluster_spread,3,200,82,0.41,0.13666666666666666,0.9524715340137482,0.7251580953598022,0.619441084515901,0
phase5_p0.5_seed101_spies3_delay_maximum,5,first_spy,0.5,101,maximum,cluster_spread,3,200,41,0.205,0.06833333333333333,1.0853963232040404,0.7655556201934814,0.7324513479585008,0
phase5_p0.5_seed101_spies3_delay_maximum,5,advanced_timing,0.5,101,maximum,cluster_spread,3,200,74,0.37,0.12333333333333334,1.0853963232040404,0.7655556201934814,0.580433143665227,0
phase5_p0.5_seed101_spies3_delay_none,5,first_spy,0.5,101,none,cluster_spread,3,200,40,0.2,0.06666666666666667,1.0439044392108918,0.7127755880355835,0.7663536718023117,0
phase5_p0.5_seed101_spies3_delay_none,5,advanced_timing,0.5,101,none,cluster_spread,3,200,65,0.325,0.10833333333333334,1.0439044392108918,0.7127755880355835,0.6466109105832005,0
phase5_p0.5_seed101_spies3_delay_random,5,first_spy,0.5,101,random,cluster_spread,3,200,42,0.21,0.06999999999999999,0.9918473613262176,0.722133994102478,0.7964935239064166,0
phase5_p0.5_seed101_spies3_delay_random,5,advanced_timing,0.5,101,random,cluster_spread,3,200,76,0.38,0.12666666666666668,0.9918473613262176,0.722133994102478,0.6250961833189599,0
phase5_p0.5_seed202_spies3_delay_half,5,first_spy,0.5,202,half,cluster_spread,3,200,39,0.195,0.065,0.9108221197128296,0.6514734029769897,0.8838169194373607,0
phase5_p0.5_seed202_spies3_delay_half,5,advanced_timing,0.5,202,half,cluster_spread,3,200,79,0.395,0.13166666666666668,0.9108221197128296,0.6514734029769897,0.664235076098886,0
phase5_p0.5_seed202_spies3_delay_maximum,5,first_spy,0.5,202,maximum,cluster_spread,3,200,40,0.2,0.06666666666666667,0.9907042169570923,0.7194185256958008,0.8075064043405078,0
